"ft.idx","mz.precursor","mz.product","rt(min)","rt(s)","Q1","Q3"
1,101.058756918003,55.0513933341943,11.36,681.4,101.1,55.1
2,102.05410567861,56.0465265269636,11.97,718.2,102.1,56
3,102.089910414311,58.0619715844698,8.37,502.4,102.1,58.1
4,103.052975057516,77.0349198075642,7.24,434.6,103.1,77
5,103.085319302551,72.0767694609573,8.13,487.7,103.1,72.1
7,104.051634845433,46.9914273226823,8.08,484.6,104.1,47
8,104.069355652889,45.0304185979844,10.93,655.9,104.1,45
9,104.105474590454,60.0770534489429,11.48,689.1,104.1,60.1
10,104.106503989275,60.0780859535822,7.52,450.9,104.1,60.1
11,104.991705730583,62.9773825782293,9.93,595.8,105,63
12,106.048265239254,42.0311378422116,11.07,664.1,106,42
13,106.084635025287,55.0513738095254,8.62,517.2,106.1,55.1
14,107.06891629238,55.0263747218032,0.95,57.2,107.1,55
15,108.009972007179,44.0465117986506,8.47,508.1,108,44
16,108.993766896251,44.0465239259381,8.46,507.5,109,44
17,109.074283778476,68.0459617493477,9.62,577.4,109.1,68
18,110.005742827322,44.046490896912,8.47,508,110,44
22,111.090324334615,55.026370826759,0.97,58.3,111.1,55
24,112.085744676768,95.0560596529905,10.73,643.7,112.1,95.1
25,113.033974426963,96.0035738929538,4.44,266.3,113,96
26,113.069728949625,70.0615452021464,11.59,695.2,113.1,70.1
27,114.06480142003,44.0464742341894,4.61,276.5,114.1,44
28,114.064860811299,44.0464635277352,10.15,609,114.1,44
29,115.067542804548,44.046446525918,4.63,277.5,115.1,44
30,115.08508978985,70.0615518514013,11.58,694.7,115.1,70.1
31,116.069832244784,70.0616140976482,8.98,538.6,116.1,70.1
33,117.064729194445,54.0308912395747,10.61,636.6,117.1,54
34,118.059589532071,43.0264443208179,10.27,616.2,118.1,43
35,118.085473299273,58.0620127916585,7.75,465.2,118.1,58.1
36,118.085438656878,55.0513612853594,8.62,517.2,118.1,55.1
37,118.085434519171,55.0513933341943,11.36,681.4,118.1,55.1
38,119.04776883364,55.0513631579647,8.64,518.3,119,55.1
40,120.080061974217,77.0349200707437,7.24,434.6,120.1,77
41,120.100998683892,58.061972994107,8.38,502.9,120.1,58.1
42,121.038277282277,93.0405987604617,5.06,303.6,121,93
43,122.080051017892,56.0459792698451,7.86,471.3,122.1,56
44,123.042425625714,55.0513698028666,8.64,518.3,123,55.1
45,123.054287945249,80.0459082106343,1.74,104.2,123.1,80
46,123.054379933209,80.0459478878992,1.38,82.7,123.1,80
47,123.054076259168,81.0410703737139,9.08,544.8,123.1,81
48,123.090534330045,107.056186213277,4.05,242.9,123.1,107.1
49,124.037757493268,78.03051200626,6.14,368.3,124,78
50,126.020708837665,44.0471025677155,8.47,508,126,44
53,126.101056544992,68.0461034333201,9.63,577.9,126.1,68
54,127.0485492335,81.0415739375438,9.39,563.1,127,81
55,127.109899696399,45.0303921907571,1.03,61.8,127.1,45
56,128.068788187215,70.0616464141412,5.27,316.3,128.1,70.1
58,128.952486129902,61.9705995423534,9.93,595.8,129,62
59,129.065164654373,83.0569865841604,10.54,632.5,129.1,83.1
60,129.100651574659,84.0775993854831,11.6,695.7,129.1,84.1
61,130.048244918925,84.0404659836798,9.28,557,130,84
62,130.049108320166,84.041565773247,11.97,718.2,130,84
63,130.04914806819,84.0410862622992,11,660,130,84
64,130.084506473066,84.0766132066066,11.6,696.2,130.1,84.1
65,130.084652717697,84.077624573539,15.82,949.2,130.1,84.1
66,130.955879297157,84.9599227642453,9.93,595.8,131,85
67,131.032377800986,84.0416673979795,11.97,718.2,131,84
68,131.0476475521,77.0348634743265,7.24,434.6,131,77
69,131.062166675704,45.0303922253561,1.63,98,131.1,45
