"ft.idx","mz.precursor","rt","tissue03","tissue04","tissue05","tissue06","tissue07","tissue08","mz.product","int.product"
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,26.0128302000753,249
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,27.0208151593344,1254
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,28.0157810758851,1099
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,29.011251532276,1588.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,29.0361980131596,1683.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,30.0310716826362,1559.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,31.0152746499257,3916
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,31.9868519490904,320
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,37.004106878017,364
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,39.0203492831018,7795
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,41.0357714912542,13462
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,43.0147894998538,8864
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,44.0464849207551,3697.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,45.0304385226349,2294.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,53.0353608565444,3943
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,55.0513933341943,119552.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,56.0466812339418,54807
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,57.0300926173931,2239.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,57.0493944289172,1938
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,59.045994073053,29423.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,72.0768047910303,3268.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,82.0609773365922,615
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,83.0453716533935,4118
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,100.072214791782,275
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,101.052936575387,1222.5
1,101.058756918003,681.44,26382,27170,25821,25984,24357,25612,101.055850333164,1467.5
2,102.05410567861,718.1585,58853,61882,56134,58926,60966,53073,28.0157515582463,469
2,102.05410567861,718.1585,58853,61882,56134,58926,60966,53073,56.0465265269636,7253
2,102.05410567861,718.1585,58853,61882,56134,58926,60966,53073,84.0403718079159,331
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,43.0150882324126,5181
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,58.0619715844698,57708
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,59.0695717652575,21960
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,61.0248011259604,1138
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,74.0925608641576,771
3,102.089910414311,502.443,7655,8538,8501,8076,8670,8242,102.08695299853,22647
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,50.0118390344116,1677
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,51.0197766647246,8738
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,53.0353091579584,3295.5
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,65.0349995928072,2281
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,77.0349198075642,70255
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,79.0503244102973,896.5
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,80.0458599013271,758
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,91.0506545196902,19277
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,93.0657230645346,2578
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,95.0451589929603,438
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,102.04226687343,2792
4,103.052975057516,434.614,34181,35473,33146,34482,31572,31098,103.050155059553,47944
5,103.085319302551,487.6505,1158,981,1177,1044,1135,1008,72.0767694609573,1061
7,104.051634845433,484.592,8212,8142,7106,7447,8456,7420,34.9914234381738,272
7,104.051634845433,484.592,8212,8142,7106,7447,8456,7420,44.9758134352435,1246
7,104.051634845433,484.592,8212,8142,7106,7447,8456,7420,46.9914273226823,2310
7,104.051634845433,484.592,8212,8142,7106,7447,8456,7420,61.0069849753989,1194
7,104.051634845433,484.592,8212,8142,7106,7447,8456,7420,74.0020890077962,955
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,37.004470455792,508
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,38.0121799192839,373
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,39.020331060745,9484.5
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,41.0357761562817,23730
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,43.0153125598821,14811.5
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,44.0185618880656,616
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,45.0304185979844,34805.5
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,69.0297846486181,10517
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,86.0546303757728,508
8,104.069355652889,655.945,13073,14354,13470,13047,13515,12934,87.0399555609883,3270.5
9,104.105474590454,689.092,53310,56608,53513,52890,53526,51968,60.0770534489429,1048
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,26.013198526464,784.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,27.0205374847683,2252
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,28.0157759298348,808
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,28.9999128390581,5886.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,29.0111980510903,5913.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,30.0314233604918,2918
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,31.9868164757146,1096.5
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,37.9997785667236,760
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,42.0311924824476,31673
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,43.015378845342,19426
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,44.0472559566264,413685
10,104.106503989275,450.9335,1445447,1513922,1447608,1528029,1471651,1557553,44.347625984402,244
